order,subj,sec,st_year,st_max,ex_dur,teacher_str,building,room,note,ex_date,code4,ex_time,st_num,ex_dt,teachers
 14, 01076253 PROBABILITY AND STATISTICS, 1, 2, 64,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM 601, 40/64,2026-03-16, 010,09,40,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
 14, 01076253 PROBABILITY AND STATISTICS, 1, 2, 64,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM-602, 24/64,2026-03-16, 010,09,24,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
 14, 01076253 PROBABILITY AND STATISTICS, 2, 2, 37,09:30:00 - 12:30:00,"รศ. ดร.ศักดิ์ชัย ทิพย์จักษุรัตน์,ผศ.จิระศักดิ์ สิทธิกร", HM, HM-502, 37/37,2026-03-16, 010,09,37,2026-03-16 09,ศักดิ์ชัย ทิพย์จักษุรัตน์;จิระศักดิ์ สิทธิกร
 15, 01076420 ADVANCED DIGITAL DESIGN USING HDL, 1, 4, 4,09:30:00 - 12:30:00,รศ. ดร.เจริญ วงษ์ชุ่มเย็น, เครื่องกล, ME-214, 4/4,2026-03-16, 010,09,4,2026-03-16 09,เจริญ วงษ์ชุ่มเย็น
 16, 01076641 INTRODUCTION TO MACHINE LEARNING AND DEEP LEARNING, 1, 4, 22,09:30:00 - 12:30:00,ดร.จิรายุ เพชรแหน, เครื่องกล, ME-401, 22/22,2026-03-16, 010,09,22,2026-03-16 09,จิรายุ เพชรแหน
 17, 01217002 CALCULUS 2, 24, 1, 45,09:30:00 - 12:30:00,รศ. ดร.สกนธ์ คล่องบุญจิต, อาคาร 12 ชั้น, E12-801, 28/45,2026-03-16, 012,09,28,2026-03-16 09,สกนธ์ คล่องบุญจิต
 17, 01217002 CALCULUS 2, 24, 1, 45,09:30:00 - 12:30:00,รศ. ดร.สกนธ์ คล่องบุญจิต, อาคาร 12 ชั้น, E12-802, 17/45,2026-03-16, 012,09,17,2026-03-16 09,สกนธ์ คล่องบุญจิต
 17, 01217002 CALCULUS 2, 26, 1, 44,09:30:00 - 12:30:00,รศ. ดร.สกนธ์ คล่องบุญจิต, อาคาร 12 ชั้น, E12-803, 28/44,2026-03-16, 012,09,28,2026-03-16 09,สกนธ์ คล่องบุญจิต
 17, 01217002 CALCULUS 2, 26, 1, 44,09:30:00 - 12:30:00,รศ. ดร.สกนธ์ คล่องบุญจิต, อาคาร 12 ชั้น, E12-804, 16/44,2026-03-16, 012,09,16,2026-03-16 09,สกนธ์ คล่องบุญจิต
 17, 01217002 CALCULUS 2, 31, 1, 22,09:30:00 - 12:30:00,ดร.พงศ์เทพ พ่วงทอง, อาคาร 12 ชั้น, E12-805, 22/22,2026-03-16, 012,09,22,2026-03-16 09,พงศ์เทพ พ่วงทอง
